3dsxl,1
42800141,12
ACE5000,1
Alexander Emil Haarlev Schmidt,2
Allice Hunter,3
American In Brazil,3
AnomieBOT,4
Arsh 18,1
Arthur Brum,1
B777-300ER,34
BD2412,2
Bender the Bot,2
Benniejets,5
Bibcode Bot,1
BiggestSataniaFanboy89,1
Bookbandit,1
Brunolima17,7
Candido,1
Ceyockey,7
Cherkash,4
Chronus,112
CoatbridgeChancellor,4
Coltsfan,1
Cydebot,1
DRAGON BOOSTER,17
Daniel Sant'Anna Lisbôa,1
Dawnseeker2000,1
Diego barbosa silva,2
DrKay,1
DxhaFFer,1
EduardoFernandez,1
Eggishorn,2
Elinruby,20
Elisardojm,1
Ernio48,1
Escherion,4
Ferdous,1
Fish and karate,1
FrescoBot,1
Frietjes,2
G0mx,1
GClark1,1
GreenC bot,3
Greg L,1
Highpeaks35,2
Howard "Dib" Montjio,1
ILoveCaracas,1
Ignácio,9
Illegitimate Barrister,5
Inowen,2
InternetArchiveBot,6
Ira Leviton,1
JMHamo,1
Jarble,1
Jc86035,1
Jgriffith19,1
JoaoPedro10029,4
Joeykai,1
John of Reading,1
Jon Kolbert,1
Juniorpetjua,12
Keith Edkins,2
Kind Tennis Fan,4
Kindly Copyeditor,1
Kingofwoods,7
Knoterification,1
KolbertBot,5
Like bowser,1
LilHelpa,1
Logan42,1
LuigiPortaro29,3
Maczkopeti,1
Magic links bot,1
Malhação2017,2
Mandruss,1
Marchjuly,1
Mark the train,1
MidasHotel20,3
Mojoworker,1
Moxy,17
Narky Blert,1
NeuroCoxinha,1
Nic1211,1
Nickin,1
Nitpicking polish,5
PKG.Royal,1
Pbj25,1
Popstarjohnkerry,1
PrEDRiSing,2
Prairieplant,2
Prattlement,1
Queen4thewin,1
Rachmat04,1
Rattans,1
Ravenanation,3
RetiredDuke,2
RickMorais,1
Robynthehode,1
Rodw,1
Roger 8 Roger,2
Ryan1783,3
SUM1,1
Sarcelles,1
Saturnalia0,2
Sluzzelin,2
Southern Person,11
SungMinSeung,2
Susan Schneegans,3
Tercessuinotlim,4
Tetizeraz,1
The Nth User,2
The Rambling Man,1
TheFreeWorld,2
Thiagoreis leon,4
Thomas Mulligan,1
Tidywhiety,1
Tobby72,1
Tonneduroc,29
Trappist the monk,1
Unbaratocha,1
Vinícius94,2
WOSlinker,1
Windhelm,15
Yobot,1
